meituan,ctrip,qunai,result
派酒店(南京夫子庙三山街地铁站店),派酒店(南京夫子庙三山街地铁站店),派酒店南京夫子庙三山街地铁站店,yes
如家酒店(南京水西门大街莫愁湖地铁站店),如家快捷酒店(南京水西门大街莫愁湖地铁站店),如家快捷酒店南京水西门大街莫愁湖地铁站店,yes
锦江之星(南京中华门店),锦江之星(南京中华门店),锦江之星酒店南京中华门店,yes
汉庭(南京新街口管家桥店),汉庭酒店(南京新街口管家桥店),汉庭酒店南京新街口管家桥店,yes
商睐快捷宾馆,南京商睐快捷宾馆,南京商睐快捷宾馆,yes
天天如家自助服务式公寓(中华路店),天天如家酒店公寓(南京中华路店),天天如家自助服务式公寓南京夫子庙中华路店,yes
玄武小栈青年旅舍(玄武湖地铁站店),南京玄武小栈青年旅舍,南京玄武小栈青年旅舍,yes
南京万里路青年酒店(夫子庙贡院西街店),万里路青年酒店连锁(南京夫子庙贡院西街店),南京万里路国际青年酒店贡院西街店,yes
天友宾馆(常府街地铁口店),南京天友宾馆常府店,南京天友宾馆常府店,yes
布丁酒店(南京珠江路东南大学店),布丁酒店(南京珠江路东南大学店),布丁酒店南京珠江路东南大学店,yes
榴莲小星酒店(锁金村店),榴莲小星连锁酒店(南京锁金村店),南京榴莲小星连锁酒店锁金村店,yes
全季酒店(南京夫子庙中心店),全季酒店(南京夫子庙中心店),全季南京夫子庙中心酒店,yes
如家酒店(南京湖南路狮子桥美食街店),如家快捷酒店(南京湖南路狮子桥美食街店),如家快捷酒店南京湖南路狮子桥美食街店,yes
南京国信状元楼大酒店,南京国信状元楼大酒店,南京国信状元楼大酒店,yes
锦江之星(南京清凉门店),锦江之星(南京清凉门店),锦江之星酒店南京清凉门店,yes
美驿连锁酒店(上海路地铁站店),美驿连锁酒店(南京上海路地铁站店),南京美驿连锁酒店上海路地铁站店,yes
7天连锁酒店(南京中山陵光华路店),7天连锁酒店(南京中山陵光华路店),7天酒店南京中山陵光华路店,yes
温馨满屋酒店式公寓(君临国际珠江路地铁站店),温馨满屋酒店公寓(南京君临国际店),南京君临国际温馨满屋酒店式公寓,yes
江苏凤凰京华大酒店,江苏凤凰京华大酒店,江苏凤凰京华大酒店,yes
如家酒店(南京南湖路店),如家快捷酒店(南京奥体中心南湖路店)(原豪宁商务宾馆),如家快捷酒店南京南湖路店,yes
如家酒店(南京雨花门地铁站大明路店),如家快捷酒店(南京雨花门地铁站大明路店),如家快捷酒店南京雨花门地铁站大明路店,yes
世纪缘大酒店(北京东路店),世纪缘大酒店(南京北京东路店),南京世纪缘大酒店北京东路店,yes
置家酒店(珠江路地铁站南京大学店),置家酒店公寓(南京君临国际店),南京置家酒店公寓南京君临国际店,yes
麗枫酒店(南京光华门南航大学店),麗枫酒店(南京光华门南航大学店),麗枫酒店南京光华门南航大学店,yes
南京金鹰珠江壹号国际酒店,南京金鹰珠江壹号国际酒店,南京金鹰珠江壹号国际酒店,yes
豪阁酒店公寓(新街口店),豪阁酒店公寓(南京新街口店),南京豪阁酒店公寓新街口店,yes
南京城市名人酒店,南京城市名人酒店,南京城市名人酒店,yes
紫水晶酒店公寓(原置都阅湖行政公寓),紫水晶酒店公寓(南京金茂广场店)(原置都阅湖行政公寓),南京置都阅湖行政公寓金茂广场店,yes
淮和快捷宾馆(中华门夫子庙店),南京淮河宾馆(原龙腾宾馆),南京淮和宾馆,yes
之敏庄主题酒店(南京夫子庙御道街店),南京之敏庄主题酒店,南京之敏庄主题酒店,yes
清沐连锁酒店(南京湖南路狮子桥店),清沐连锁酒店(南京湖南路狮子桥店),清沐连锁酒店南京湖南路狮子桥店,yes
清沐精品酒店(南京集庆门万达广场店),清沐连锁酒店(南京集庆门万达广场店),清沐精品酒店南京集庆门万达广场店,yes
南京湖南路亚朵酒店,南京湖南路亚朵酒店,亚朵酒店南京湖南路店,yes
2016假日酒店,南京2016假日酒店,南京2016假日酒店,yes
世纪之星快捷酒店(中山东路店),世纪之星快捷酒店(南京中山东路店),南京世纪之星快捷酒店南京中山东路店,yes
